[0, 0;
 0.1007655160896175, 1.606905669772171e-007;
 0.2015310321773132, 8.034528348819992e-007;
 0.3022965482566806, 2.249667937627916e-006;
 0.4030620643136259, 4.820717008985511e-006;
 0.5038275803232925, 8.83798118235346e-006;
 0.6045930962469862, 1.46228415903581e-005;
 0.7053586120291002, 2.249667936423227e-005;
 0.8061241275940398, 3.278087563292451e-005;
 0.9068896428431478, 4.579681152188941e-005;
 1.007655157651629, 6.186586815151027e-005;
 1.108420671865475, 8.130942663510489e-005;
 1.20918618529839, 0.0001044488680764656;
 1.309951697728716, 0.0001316055735668841;
 1.410717208896356, 0.0001631009241816128;
 1.511482718499699, 0.0001992563009757131;
 1.612248226192549, 0.0002403930849792411;
 1.713013731581045, 0.0002868326571917229;
 1.813779234220587, 0.0003388963985758701;
 1.914544733612764, 0.0003969056900504847;
 2.015310229202277, 0.000461181912482508;
 2.116075720373861, 0.0005320464466781603;
 2.216841206449215, 0.0006098206733731255;
 2.317606686683925, 0.0006948259732217301;
 2.418372160264389, 0.0007873837267850684;
 2.519137626304739, 0.0008878153145180232;
 2.619903083843772, 0.0009964421167551352;
 2.72066853184187, 0.001113585513695271;
 2.821433969177926, 0.001239566885385039;
 2.922199394646273, 0.001374707611700908;
 3.022964806953601, 0.001519329072329978;
 3.123730204715891, 0.001673752646749347;
 3.224495586455332, 0.001838299714204042;
 3.325260950597254, 0.002013291653683443;
 3.426026295467043, 0.002199049843896171;
 3.526791619287076, 0.002395895663243379;
 3.627556920173641, 0.002604150489790396;
 3.728322196133862, 0.00282413570123669;
 3.829087445062626, 0.003056172674884079;
 3.929852664739504, 0.003300582787603157;
 4.030617852825682, 0.003557687415797883;
 4.131383006860883, 0.003827807935368278;
 4.23214812426029, 0.004111265721671187;
 4.332913202311473, 0.004408382149479057;
 4.433678238171317, 0.004719478592936678;
 4.534443228862942, 0.005044876425515836;
 4.635208171272632, 0.00538489701996784;
 4.735973062146758, 0.005739861748273864;
 4.836737898088702, 0.006110091981593056;
 4.937502675555789, 0.006495909090208369;
 5.038267390856203, 0.006897634443470063;
 5.139032040145916, 0.007315589409736827;
 5.239796619425618, 0.007750095356314473;
 5.340561124537633, 0.008201473649392159;
 5.441325551162852, 0.008670045653976079;
 5.542089894817657, 0.009156132733820587;
 5.642854150850842, 0.009660056251356687;
 5.743618314440543, 0.01018213756761787;
 5.844382380591161, 0.01072269804216318;
 5.945146344130289, 0.01128205903299762;
 6.045910199705636, 0.01186054189648956;
 6.146673941781955, 0.01245846798728549;
 6.247437564637963, 0.01307615865822167;
 6.348201062363273, 0.0137139352602329;
 6.448964428855319, 0.01437211914225831;
 6.549727657816275, 0.01505103165114398;
 6.650490742749989, 0.01575099413154256;
 6.751253676958903, 0.01647232792580961;
 6.852016453540983, 0.01721535437389687;
 6.952779065386642, 0.01798039481324212;
 7.053541505175667, 0.01876777057865586;
 7.154303765374144, 0.0195778030022045;
 7.255065838231386, 0.02041081341309031;
 7.355827715776857, 0.02126712313752773;
 7.456589389817101, 0.02214705349861632;
 7.557350851932665, 0.02305092581621006;
 7.658112093475028, 0.02397906140678313;
 7.758873105563524, 0.02493178158329193;
 7.859633879082272, 0.02590940765503353;
 7.960394404677104, 0.02691226092750023;
 8.061154672752485, 0.02794066270223044;
 8.161914673468445, 0.02899493427665564;
 8.262674396737504, 0.03007539694394346;
 8.363433832221601, 0.03118237199283684;
 8.464192969329018, 0.03231618070748914;
 8.564951797211309, 0.03347714436729526;
 8.665710304760228, 0.03466558424671861;
 8.766468480604656, 0.03588182161511402;
 8.867226313107523, 0.03712617773654638;
 8.967983790362744, 0.03839897386960504;
 9.068740900192143, 0.03970053126721403;
 9.169497630142379, 0.04103117117643777;
 9.270253967481876, 0.04239121483828253;
 9.371009899197754, 0.04378098348749341;
 9.471765411992749, 0.04520079835234681;
 9.572520492282148, 0.04665098065443841;
 9.67327512619072, 0.04813185160846652;
 9.774029299549635, 0.04964373242201084;
 9.874782997893403, 0.05118694429530651;
 9.975536206456795, 0.05276180842101347;
 10.07628891017178, 0.05436864598398095;
 10.17704109366444, 0.05600777816100728;
 10.27779274125192, 0.05767952612059465;
 10.37854383693935, 0.05938421102269909;
 10.47929436441676, 0.06112215401847541;
 10.58004430705603, 0.06289367625001711;
 10.68079364790781, 0.06469909885009124;
 10.78154236969845, 0.06653874294186812;
 10.88229045482695, 0.06841292963864593;
 10.98303788536184, 0.07032198004356999;
 11.0837846430382, 0.07226621524934693;
 11.18453070925447, 0.07424595633795336;
 11.28527606506952, 0.07626152438033931;
 11.38602069119945, 0.0783132404361262;
 11.48676456801461, 0.08040142555329932;
 11.58750767553652, 0.08252640076789489;
 11.68824999343475, 0.08468848710368146;
 11.78899150102393, 0.08688800557183576;
 11.88973217726063, 0.08912527717061289;
 11.99047200074029, 0.09140062288501072;
 12.09121094969419, 0.09371436368642867;
 12.19194900198636, 0.09606682053232062;
 12.29268613511053, 0.09845831436584188;
 12.39342232618705, 0.1008891661154904;
 12.49415755195981, 0.1033596966947421;
 12.59489178879323, 0.1058702270016796;
 12.69562501266913, 0.1084210779186161;
 12.79635719918371, 0.1110125703117118;
 12.89708832354449, 0.1136450250305851;
 12.9978183605672, 0.1163187629079171;
 13.09854728467276, 0.1190341047590506;
 13.19927506988422, 0.1217913713815815;
 13.30000168982365, 0.1245908835549452;
 13.40072711770916, 0.1274329620399959;
 13.50145132635174, 0.1303179275785795;
 13.60217428815228, 0.1332461008931004;
 13.70289597509847, 0.136217802686081;
 13.80361635876175, 0.1392333536397156;
 13.90433541029426, 0.142293074415417;
 14.00505310042575, 0.1453972856533563;
 14.10576939946056, 0.1485463079719968;
 14.20648427727454, 0.1517404619676201;
 14.30719770331199, 0.1549800682138461;
 14.40790964658263, 0.1582654472611459;
 14.5086200756585, 0.1615969196363475;
 14.60932895867095, 0.1649748058421351;
 14.71003626330753, 0.1683994263565409;
 14.81074195680899, 0.1718711016324299;
 14.91144600596622, 0.1753901520969779;
 15.01214837711714, 0.1789568981511419;
 15.11284903614371, 0.1825716601691236;
 15.21354794846886, 0.1862347584978254;
 15.3142450790534, 0.1899465134562997;
 15.41494039239304, 0.1937072453351894;
 15.51563385251527, 0.197517274396163;
 15.61632542297636, 0.2013769208713405;
 15.71701506685827, 0.2052865049627128;
 15.81770274676563, 0.2092463468415531;
 15.91838842482269, 0.2132567666478207;
 16.01907206267026, 0.2173180844895578;
 16.11975362146267, 0.2214306204422775;
 16.22043306186474, 0.2255946945483449;
 16.32111034404867, 0.2298106268163502;
 16.42178542769111, 0.2340787372204737;
 16.52245827196999, 0.2383993456998433;
 16.62312883556158, 0.2427727721578839;
 16.72379707663739, 0.2471993364616585;
 16.82446295286114, 0.2516793584412019;
 16.92512642138573, 0.2562131578888457;
 17.0257874388502, 0.2608010545585356;
 17.12644596137666, 0.2654433681651403;
 17.22710194456732, 0.2701404183837521;
 17.32775534350136, 0.2748925248489796;
 17.42840611273199, 0.2797000071542317;
 17.52905420628335, 0.2845631848509932;
 17.62969957764749, 0.2894823774480926;
 17.73034217978135, 0.2944579044109604;
 17.83098196510372, 0.2994900851608799;
 17.93161888549221, 0.3045792390742289;
 18.03225289228021, 0.3097256854817124;
 18.13288393625388, 0.314929743667588;
 18.2335119676491, 0.3201917328688811;
 18.33413693614847, 0.3255119722745921;
 18.43475879087825, 0.3308907810248948;
 18.53537748040536, 0.3363284782103256;
 18.63599295273434, 0.3418253828709643;
 18.73660515530436, 0.3473818139956052;
 18.83721403498614, 0.3529980905209204;
 18.937819538079, 0.3586745313306126;
 19.03842161030778, 0.3644114552545603;
 19.13902019681984, 0.3702091810679523;
 19.23961524218208, 0.3760680274904147;
 19.34020669037787, 0.3819883131851271;
 19.44079448480406, 0.3879703567579308;
 19.54137856826798, 0.3940144767564266;
 19.6419588829844, 0.4001209916690642;
 19.74253537057254, 0.4062902199242215;
 19.84310797205307, 0.4125224798892748;
 19.94367662784506, 0.4188180898696589;
 20.04424127776301, 0.4251773681079189;
 20.14480186101386, 0.4316006327827509;
 20.24535831619392, 0.4380882020080341;
 20.34591058128594, 0.4446403938318525;
 20.44645859365608, 0.4512575262355076;
 20.54700229005089, 0.4579399171325207;
 20.64754160659436, 0.4646878843676253;
 20.74807647878486, 0.4715017457157504;
 20.84860684149222, 0.4783818188809929;
 20.94913262895468, 0.4853284214955805;
 21.04965377477592, 0.4923418711188247;
 21.15017021192207, 0.4994224852360635;
 21.25068187271871, 0.5065705812575938;
 21.35118868884792, 0.5137864765175941;
 21.45169059134523, 0.5210704882730368;
 21.55218751059671, 0.5284229337025899;
 21.65267937633594, 0.5358441299055088;
 21.75316611764103, 0.5433343939005177;
 21.8536476629317, 0.5508940426246807;
 21.95412393996622, 0.5585233929322615;
 22.05459487583849, 0.5662227615935743;
 22.15506039697506, 0.573992465293823;
 22.25552042913216, 0.5818328206319294;
 22.35597489739271, 0.5897441441193526;
 22.45642372616339, 0.5977267521788954;
 22.55686683917163, 0.6057809611435018;
 22.65730415946271, 0.6139070872550431;
 22.75773560939673, 0.6221054466630926;
 22.85816111064569, 0.6303763554236906;
 22.95858058419056, 0.6387201294980976;
 23.05899395031825, 0.6471370847515369;
 23.15940112861874, 0.6556275369519257;
 23.25980203798206, 0.6641918017685965;
 23.36019659659541, 0.6728301947710057;
 23.46058472194015, 0.6815430314274323;
 23.5609663307889, 0.6903306271036648;
 23.66134133920259, 0.699193297061677;
 23.76170966252751, 0.7081313564582931;
 23.86207121539238, 0.7171451203438402;
 23.96242591170543, 0.7262349036607908;
 24.06277366465143, 0.7354010212423934;
 24.16311438668883, 0.744643787811291;
 24.26344798954674, 0.7539635179781294;
 24.3637743842221, 0.7633605262401526;
 24.4640934809767, 0.7728351269797876;
 24.56440518933426, 0.7823876344632172;
 24.66470941807754, 0.7920183628389413;
 24.76500607524544, 0.801727626136326;
 24.86529506813004, 0.8115157382641414;
 24.96557630327371, 0.8213830130090877;
 25.06584968646623, 0.831329764034309;
 25.16611512274188, 0.8413563048778957;
 25.26637254861007, 0.8514626291907925;
 25.36662193307231, 0.8616484108384896;
 25.46686324589542, 0.8719133237135057;
 25.56709645760839, 0.8822570417362814;
